,jd,mag,mag_unc,filter,limmag,programid
164,44245.77181407657,18.68751511232478,0.1,sdssu,inf,0.0
165,44245.77181407657,18.096847847734498,0.1,ps1__g,inf,0.0
166,44245.77181407657,15.989851965310443,0.1,2massh,inf,0.0
167,44245.77181407657,16.21828945227651,0.1,ps1__z,inf,0.0
168,44245.87181407657,16.063228901940136,0.1,2massh,inf,0.0
169,44245.87181407657,15.751333819042697,0.1,ps1__i,inf,0.0
170,44245.87181407657,18.093155810849783,0.1,ps1__g,inf,0.0
171,44245.87181407657,18.681566232056138,0.1,sdssu,inf,0.0
172,44245.87181407657,17.364732771995115,0.1,ps1__r,inf,0.0
173,44245.87181407657,16.327506937081495,0.1,ps1__z,inf,0.0
174,44245.97181407657,15.92252149106172,0.1,2massh,inf,0.0
175,44245.97181407657,18.292431353363547,0.1,ps1__g,inf,0.0
176,44245.97181407657,17.60552942171941,0.1,ps1__r,inf,0.0
177,44245.97181407657,18.764862616008315,0.1,sdssu,inf,0.0
178,44245.97181407657,16.48432070266513,0.1,ps1__z,inf,0.0
179,44245.97181407657,15.606616431635752,0.1,ps1__i,inf,0.0
180,44246.07181407657,17.56868488899076,0.1,ps1__r,inf,0.0
181,44246.07181407657,16.2489432781945,0.1,ps1__z,inf,0.0
182,44246.07181407657,18.407565999319452,0.1,ps1__g,inf,0.0
183,44246.07181407657,16.020717551501576,0.1,2massh,inf,0.0
184,44246.07181407657,15.82718069209381,0.1,ps1__i,inf,0.0
185,44246.07181407657,18.71463511202333,0.1,sdssu,inf,0.0
186,44246.171814076566,16.641796943920117,0.1,ps1__z,inf,0.0
187,44246.171814076566,18.786985899297616,0.1,ps1__g,inf,0.0
188,44246.171814076566,18.81189156980572,0.1,sdssu,inf,0.0
189,44246.171814076566,17.762990495216446,0.1,ps1__r,inf,0.0
190,44246.171814076566,15.922316974286948,0.1,2massh,inf,0.0
191,44246.171814076566,15.842345253228112,0.1,ps1__i,inf,0.0
192,44246.27181407657,16.174199734865642,0.1,2massh,inf,0.0
193,44246.27181407657,18.638320160369904,0.1,ps1__g,inf,0.0
194,44246.27181407657,17.844239099430037,0.1,ps1__r,inf,0.0
195,44246.27181407657,16.102414740279077,0.1,ps1__i,inf,0.0
196,44246.27181407657,18.825283742552056,0.1,sdssu,inf,0.0
197,44246.27181407657,16.551462365422754,0.1,ps1__z,inf,0.0
198,44246.37181407657,18.895914947988523,0.1,sdssu,inf,0.0
199,44246.37181407657,17.86253075653341,0.1,ps1__r,inf,0.0
200,44246.37181407657,16.22539790907952,0.1,2massh,inf,0.0
201,44246.37181407657,16.593591383581078,0.1,ps1__z,inf,0.0
202,44246.37181407657,16.309204012562986,0.1,ps1__i,inf,0.0
203,44246.37181407657,18.566631732969736,0.1,ps1__g,inf,0.0
204,44246.47181407657,16.5899283545647,0.1,ps1__z,inf,0.0
205,44246.47181407657,18.794527966888648,0.1,ps1__g,inf,0.0
206,44246.47181407657,18.9670362137268,0.1,sdssu,inf,0.0
207,44246.47181407657,18.214093910773844,0.1,ps1__r,inf,0.0
208,44246.47181407657,16.503478950376277,0.1,ps1__i,inf,0.0
209,44246.47181407657,16.124281001896765,0.1,2massh,inf,0.0
210,44246.57181407657,16.346025793582214,0.1,2massh,inf,0.0
211,44246.57181407657,16.572648473597948,0.1,ps1__z,inf,0.0
212,44246.57181407657,18.14525374191612,0.1,ps1__r,inf,0.0
213,44246.57181407657,19.03743538179228,0.1,sdssu,inf,0.0
214,44246.57181407657,16.39460829689026,0.1,ps1__i,inf,0.0
215,44246.57181407657,18.676940493819284,0.1,ps1__g,inf,0.0
216,44246.671814076566,16.55678520483404,0.1,ps1__i,inf,0.0
217,44246.671814076566,17.96625431280835,0.1,ps1__r,inf,0.0
218,44246.671814076566,16.85498028167289,0.1,ps1__z,inf,0.0
219,44246.671814076566,16.084409349413363,0.1,2massh,inf,0.0
220,44246.671814076566,19.234181992961012,0.1,sdssu,inf,0.0
221,44246.671814076566,18.922261699275918,0.1,ps1__g,inf,0.0
222,44246.77181407657,16.84387694247089,0.1,ps1__z,inf,0.0
223,44246.77181407657,19.052538543976,0.1,sdssu,inf,0.0
224,44246.77181407657,18.834733724320337,0.1,ps1__g,inf,0.0
225,44246.77181407657,18.28686404310658,0.1,ps1__r,inf,0.0
226,44246.77181407657,16.376892624109647,0.1,ps1__i,inf,0.0
227,44246.77181407657,16.08569847426512,0.1,2massh,inf,0.0
228,44246.87181407657,16.78332507066769,0.1,ps1__z,inf,0.0
229,44246.87181407657,18.28878025204493,0.1,ps1__r,inf,0.0
230,44246.87181407657,16.506511983034382,0.1,ps1__i,inf,0.0
231,44246.87181407657,19.31819009944904,0.1,sdssu,inf,0.0
232,44246.87181407657,19.03687996622129,0.1,ps1__g,inf,0.0
233,44246.87181407657,16.266792832337657,0.1,2massh,inf,0.0
234,44246.97181407657,16.8016705560117,0.1,ps1__i,inf,0.0
235,44246.97181407657,16.83131996170304,0.1,ps1__z,inf,0.0
236,44246.97181407657,19.213899720877233,0.1,sdssu,inf,0.0
237,44246.97181407657,19.2344554794067,0.1,ps1__g,inf,0.0
238,44246.97181407657,18.520580208013286,0.1,ps1__r,inf,0.0
239,44246.97181407657,16.371812251634477,0.1,2massh,inf,0.0
240,44247.07181407657,19.218569052734058,0.1,sdssu,inf,0.0
241,44247.07181407657,16.940034887996045,0.1,ps1__i,inf,0.0
242,44247.07181407657,18.411648370054422,0.1,ps1__r,inf,0.0
243,44247.07181407657,19.297485042064057,0.1,ps1__g,inf,0.0
244,44247.07181407657,16.963297832072865,0.1,ps1__z,inf,0.0
245,44247.07181407657,16.454105965450136,0.1,2massh,inf,0.0
246,44247.171814076566,17.21356560363288,0.1,ps1__z,inf,0.0
247,44247.171814076566,16.26463135247389,0.1,2massh,inf,0.0
248,44247.171814076566,19.35743730564494,0.1,sdssu,inf,0.0
249,44247.171814076566,16.99103297966155,0.1,ps1__i,inf,0.0
250,44247.171814076566,19.319100253713838,0.1,ps1__g,inf,0.0
251,44247.171814076566,18.524324706044816,0.1,ps1__r,inf,0.0
252,44247.27181407657,19.25575365392118,0.1,sdssu,inf,0.0
253,44247.27181407657,16.445950859005222,0.1,2massh,inf,0.0
254,44247.27181407657,19.37552503916656,0.1,ps1__g,inf,0.0
255,44247.27181407657,18.62308480605052,0.1,ps1__r,inf,0.0
256,44247.27181407657,16.883446076643487,0.1,ps1__i,inf,0.0
257,44247.27181407657,17.070764763542147,0.1,ps1__z,inf,0.0
258,44247.37181407657,17.192683302796166,0.1,ps1__i,inf,0.0
259,44247.37181407657,19.48489291360331,0.1,sdssu,inf,0.0
260,44247.37181407657,18.727692377972236,0.1,ps1__r,inf,0.0
261,44247.37181407657,16.981340025036456,0.1,ps1__z,inf,0.0
262,44247.37181407657,16.35381813903933,0.1,2massh,inf,0.0
263,44247.37181407657,19.428555040008263,0.1,ps1__g,inf,0.0
264,44247.47181407657,17.138271739640658,0.1,ps1__i,inf,0.0
265,44247.47181407657,17.13265978646564,0.1,ps1__z,inf,0.0
266,44247.47181407657,19.524683693166015,0.1,sdssu,inf,0.0
267,44247.47181407657,18.598720862604853,0.1,ps1__r,inf,0.0
268,44247.47181407657,16.35317097565481,0.1,2massh,inf,0.0
269,44247.47181407657,19.380539657010438,0.1,ps1__g,inf,0.0
270,44247.57181407657,16.474694271322686,0.1,2massh,inf,0.0
271,44247.57181407657,19.643934231817507,0.1,sdssu,inf,0.0
272,44247.57181407657,17.381869409486736,0.1,ps1__i,inf,0.0
273,44247.57181407657,17.168760635642904,0.1,ps1__z,inf,0.0
274,44247.57181407657,19.514374025107074,0.1,ps1__g,inf,0.0
275,44247.57181407657,18.73054770682053,0.1,ps1__r,inf,0.0
276,44247.671814076566,19.54307964418864,0.1,ps1__g,inf,0.0
277,44247.671814076566,19.648316330899792,0.1,sdssu,inf,0.0
278,44247.671814076566,17.39890694678491,0.1,ps1__i,inf,0.0
279,44247.671814076566,16.972201481921328,0.1,ps1__z,inf,0.0
280,44247.671814076566,16.466203103724766,0.1,2massh,inf,0.0
281,44247.671814076566,18.734361493425723,0.1,ps1__r,inf,0.0
282,44247.77181407657,19.89377124199685,0.1,sdssu,inf,0.0
283,44247.77181407657,17.337170470480135,0.1,ps1__i,inf,0.0
284,44247.77181407657,17.272257231582167,0.1,ps1__z,inf,0.0
285,44247.77181407657,19.748682394606792,0.1,ps1__g,inf,0.0
286,44247.77181407657,18.75966949276775,0.1,ps1__r,inf,0.0
287,44247.77181407657,16.27478312666911,0.1,2massh,inf,0.0
288,44247.87181407657,19.648561424174535,0.1,ps1__g,inf,0.0
289,44247.87181407657,17.45956031552485,0.1,ps1__i,inf,0.0
290,44247.87181407657,19.027082589944182,0.1,ps1__r,inf,0.0
291,44247.87181407657,17.28254558639542,0.1,ps1__z,inf,0.0
292,44247.87181407657,16.613720306789983,0.1,2massh,inf,0.0
293,44247.87181407657,19.559822464452434,0.1,sdssu,inf,0.0
294,44247.97181407657,17.482978553552115,0.1,ps1__i,inf,0.0
295,44247.97181407657,16.62854259369378,0.1,2massh,inf,0.0
296,44247.97181407657,19.484596996078963,0.1,ps1__g,inf,0.0
297,44247.97181407657,17.41595253207787,0.1,ps1__z,inf,0.0
298,44247.97181407657,18.93319523164634,0.1,ps1__r,inf,0.0
299,44247.97181407657,19.673238098217222,0.1,sdssu,inf,0.0
300,44248.07181407657,17.659598491710906,0.1,ps1__i,inf,0.0
301,44248.07181407657,19.791347994358205,0.1,sdssu,inf,0.0
302,44248.07181407657,19.809267754405376,0.1,ps1__g,inf,0.0
303,44248.07181407657,16.448394393016702,0.1,2massh,inf,0.0
304,44248.07181407657,18.78299889895268,0.1,ps1__r,inf,0.0
305,44248.07181407657,17.574440452629688,0.1,ps1__z,inf,0.0
306,44248.171814076566,16.578552082543833,0.1,2massh,inf,0.0
307,44248.171814076566,19.88557659156317,0.1,sdssu,inf,0.0
308,44248.171814076566,17.538087849505484,0.1,ps1__z,inf,0.0
309,44248.171814076566,19.808001796626105,0.1,ps1__g,inf,0.0
310,44248.171814076566,19.04176441233087,0.1,ps1__r,inf,0.0
311,44248.171814076566,17.81121711459992,0.1,ps1__i,inf,0.0
312,44248.27181407657,19.82358327042782,0.1,ps1__g,inf,0.0
313,44248.27181407657,19.927834656314786,0.1,sdssu,inf,0.0
314,44248.27181407657,17.651452980131943,0.1,ps1__i,inf,0.0
315,44248.27181407657,16.621098694133718,0.1,2massh,inf,0.0
316,44248.27181407657,19.213993045247303,0.1,ps1__r,inf,0.0
317,44248.27181407657,17.423283505664976,0.1,ps1__z,inf,0.0
318,44248.37181407657,20.00178857993637,0.1,ps1__g,inf,0.0
319,44248.37181407657,19.141172015295638,0.1,ps1__r,inf,0.0
320,44248.37181407657,17.79770807236166,0.1,ps1__i,inf,0.0
321,44248.37181407657,17.364691072499,0.1,ps1__z,inf,0.0
322,44248.37181407657,20.206601346208714,0.1,sdssu,inf,0.0
323,44248.37181407657,16.62636284031631,0.1,2massh,inf,0.0
324,44248.47181407657,20.09585052882768,0.1,ps1__g,inf,0.0
325,44248.47181407657,17.66903639181437,0.1,ps1__i,inf,0.0
326,44248.47181407657,17.761185482916165,0.1,ps1__z,inf,0.0
327,44248.47181407657,18.899032744042387,0.1,ps1__r,inf,0.0
328,44248.47181407657,20.308774147481305,0.1,sdssu,inf,0.0
329,44248.47181407657,16.571357713312405,0.1,2massh,inf,0.0
330,44248.57181407657,17.75196872887938,0.1,ps1__i,inf,0.0
331,44248.57181407657,16.589612200816198,0.1,2massh,inf,0.0
332,44248.57181407657,19.019872166088923,0.1,ps1__r,inf,0.0
333,44248.57181407657,20.097081400109968,0.1,ps1__g,inf,0.0
334,44248.57181407657,20.151900358717114,0.1,sdssu,inf,0.0
335,44248.57181407657,17.52729739942948,0.1,ps1__z,inf,0.0
336,44248.671814076566,20.158182601789303,0.1,sdssu,inf,0.0
337,44248.671814076566,17.984159043619055,0.1,ps1__i,inf,0.0
338,44248.671814076566,19.865675090051926,0.1,ps1__g,inf,0.0
339,44248.671814076566,16.687377509334425,0.1,2massh,inf,0.0
340,44248.671814076566,19.207003631067778,0.1,ps1__r,inf,0.0
341,44248.671814076566,17.533205585068647,0.1,ps1__z,inf,0.0
342,44248.77181407657,18.0171982092945,0.1,ps1__i,inf,0.0
343,44248.77181407657,20.350426510733243,0.1,sdssu,inf,0.0
344,44248.77181407657,19.9592343924418,0.1,ps1__g,inf,0.0
345,44248.77181407657,16.841868751545206,0.1,2massh,inf,0.0
346,44248.77181407657,19.031853742451833,0.1,ps1__r,inf,0.0
347,44248.77181407657,17.56310544595752,0.1,ps1__z,inf,0.0
348,44248.87181407657,19.16148155679025,0.1,ps1__r,inf,0.0
349,44248.87181407657,17.634975132971604,0.1,ps1__z,inf,0.0
350,44248.87181407657,18.151289445900343,0.1,ps1__i,inf,0.0
351,44248.87181407657,16.810953083211643,0.1,2massh,inf,0.0
352,44248.87181407657,20.128884901404472,0.1,ps1__g,inf,0.0
353,44248.87181407657,20.29837686231735,0.1,sdssu,inf,0.0
354,44248.97181407657,19.24264284344998,0.1,ps1__r,inf,0.0
355,44248.97181407657,20.278888379012507,0.1,ps1__g,inf,0.0
356,44248.97181407657,17.638542454026513,0.1,ps1__z,inf,0.0
357,44248.97181407657,18.14164756695853,0.1,ps1__i,inf,0.0
358,44248.97181407657,20.503822103133917,0.1,sdssu,inf,0.0
359,44248.97181407657,16.753422644941896,0.1,2massh,inf,0.0
360,44249.07181407657,20.200658746979745,0.1,ps1__g,inf,0.0
361,44249.07181407657,17.62482210155392,0.1,ps1__z,inf,0.0
362,44249.07181407657,16.901210337092518,0.1,2massh,inf,0.0
363,44249.07181407657,18.49485450010375,0.1,ps1__i,inf,0.0
364,44249.07181407657,20.545684505692435,0.1,sdssu,inf,0.0
365,44249.07181407657,19.1339476770613,0.1,ps1__r,inf,0.0
366,44249.171814076566,17.656191612061672,0.1,ps1__z,inf,0.0
367,44249.171814076566,16.573429027286174,0.1,2massh,inf,0.0
368,44249.171814076566,18.376262736349766,0.1,ps1__i,inf,0.0
369,44249.171814076566,20.275815317561197,0.1,ps1__g,inf,0.0
370,44249.171814076566,19.25285394531448,0.1,ps1__r,inf,0.0
371,44249.171814076566,20.464784923886135,0.1,sdssu,inf,0.0
372,44249.27181407657,20.22048747325319,0.1,ps1__g,inf,0.0
373,44249.27181407657,18.935340460912244,0.1,ps1__r,inf,0.0
374,44249.27181407657,17.73409374358553,0.1,ps1__z,inf,0.0
375,44249.27181407657,18.3709953631686,0.1,ps1__i,inf,0.0
376,44249.27181407657,20.83562675256428,0.1,sdssu,inf,0.0
377,44249.27181407657,17.01001033835334,0.1,2massh,inf,0.0
378,44249.37181407657,20.266920563124422,0.1,ps1__g,inf,0.0
379,44249.37181407657,19.197031718872754,0.1,ps1__r,inf,0.0
380,44249.37181407657,18.514205670497173,0.1,ps1__i,inf,0.0
381,44249.37181407657,20.94198720548214,0.1,sdssu,inf,0.0
382,44249.37181407657,16.75441279387316,0.1,2massh,inf,0.0
383,44249.37181407657,17.712313284085205,0.1,ps1__z,inf,0.0
384,44249.47181407657,20.52098884781125,0.1,ps1__g,inf,0.0
385,44249.47181407657,19.316905788297305,0.1,ps1__r,inf,0.0
386,44249.47181407657,17.726351395985944,0.1,ps1__z,inf,0.0
387,44249.47181407657,16.91890717623666,0.1,2massh,inf,0.0
388,44249.47181407657,20.77458652833951,0.1,sdssu,inf,0.0
389,44249.47181407657,18.492068163699443,0.1,ps1__i,inf,0.0
390,44249.57181407657,17.84391039597114,0.1,ps1__z,inf,0.0
391,44249.57181407657,20.654713416077012,0.1,ps1__g,inf,0.0
392,44249.57181407657,16.87415193033972,0.1,2massh,inf,0.0
393,44249.57181407657,20.843778553543086,0.1,sdssu,inf,0.0
394,44249.57181407657,18.530908676543884,0.1,ps1__i,inf,0.0
395,44249.57181407657,19.242603693443613,0.1,ps1__r,inf,0.0
396,44249.671814076566,17.833220033779412,0.1,ps1__z,inf,0.0
397,44249.671814076566,16.89037235523095,0.1,2massh,inf,0.0
398,44249.671814076566,19.547394394191723,0.1,ps1__r,inf,0.0
399,44249.671814076566,20.954717742485983,0.1,sdssu,inf,0.0
400,44249.671814076566,18.640099005301757,0.1,ps1__i,inf,0.0
401,44249.671814076566,20.513427139281994,0.1,ps1__g,inf,0.0
402,44249.77181407657,20.58049199671262,0.1,ps1__g,inf,0.0
