   -0.341514731715705810E+01    0.124338934147827729E+01   -0.139401409166978762E+01   -0.212330697413058989E+01    0.244122705653636085E+00    0.137383954741415515E+00    0.341448031153499698E+00    0.286537674895546657E+00    0.208027147507237542E+01    0.158163546171884910E+02   -0.109797163214733366E+02
   -0.184608524952684760E+01    0.464915635154261042E+00   -0.142404669356495850E+01   -0.147078863162187190E+01    0.187665074653036279E+00    0.108283160428021941E+00    0.335056034711992357E+00    0.347868899628169692E+00    0.115441094917480780E+01    0.702562152039661214E+02   -0.109539164105707307E+02
   -0.246115946971893784E+01    0.738646272488537425E+00   -0.302823264047509522E+01   -0.167609651490264877E+01    0.172537287041478554E+00    0.824921112799314321E-01    0.228766696550612297E+00    0.336630009242473882E+00    0.228092362415749728E+01    0.622518387927278241E+02   -0.109090308688494382E+02
   -0.182478643653399253E+01    0.245831004865545655E+00   -0.197240412583695113E+01   -0.207283358982402621E+01    0.347978704441872122E+00    0.113799750827194027E+00    0.256644090008050385E+00    0.325435783227115305E+00    0.268097287471892498E+01    0.298830113767222976E+02   -0.108717469529290351E+02
   -0.289441157182559827E+01    0.121089215275886541E+01   -0.216008656830037449E+01   -0.753180419135165646E+00    0.182927397236847117E+00    0.117852682423123148E+00    0.268817614732090315E+00    0.236690662017085690E+00    0.210830128458640242E+01    0.494824983630866768E+02   -0.108069038635654984E+02
   -0.966573596000671387E+00    0.272159968692263332E+00   -0.387549236857891088E+01   -0.801937332153320526E+00    0.159235408306121817E+00    0.100361734628677368E+00    0.329160022735595692E+00    0.233244884014129655E+00    0.296460111737251264E+01    0.486525940895080566E+02   -0.107863868467081581E+02
   -0.105351202563200363E+01    0.105943635507881467E+00   -0.227091995860642548E+01   -0.199032264416062787E+01    0.206666119677581250E+00    0.132213428314613246E+00    0.228808601111978344E+00    0.254685188293336306E+00    0.135727440887173856E+01    0.289466201453029619E+02   -0.107692684617087906E+02
   -0.151915436983108521E+01    0.949551428651270402E+00   -0.154199910259246842E+01   -0.199820166587829595E+01    0.206528979539871205E+00    0.894228756427764837E-01    0.297336244583129905E+00    0.271338665485382102E+00    0.164602786302566551E+01    0.123782861232757568E+03   -0.107551302565772851E+02
   -0.413934618234634399E+00    0.101276006949916098E+01   -0.184501660788059230E+01   -0.323698965072631850E+01    0.140089433193206769E+00    0.138949030637741083E+00    0.256942999362945512E+00    0.296418559551239025E+00    0.207193551063537607E+01    0.270817166566848755E+02   -0.107543203819039874E+02
   -0.129295351079993104E+01    0.130139014271117093E+01   -0.152071875591325822E+01   -0.262390202646873671E+01    0.232035493655737335E+00    0.568517007835719901E-01    0.296201806639202037E+00    0.377571719077946955E+00    0.283388346939284297E+01    0.542708693693446946E+02   -0.107482887116364818E+02
   -0.147298736126751439E+01    0.431821476510037272E+00   -0.186704132561600566E+01   -0.277721249309770979E+01    0.308037477203061072E+00    0.992718720742336025E-01    0.250039294805959544E+00    0.317033909066202990E+00    0.160835819878866371E+01    0.550699889705510515E+02   -0.107462731102407858E+02
   -0.354860332273414691E+01    0.779234013378076629E+00   -0.345646225101949689E+01   -0.102525795540634546E+01    0.255335165968591016E+00    0.698795111400893759E-01    0.275037952505015171E+00    0.306679518300600695E+00    0.115048837597974551E+01    0.566979943568390752E+02   -0.107394943284658098E+02
   -0.690581786915686280E+00    0.117589449631439025E+01   -0.283556496036507388E+01   -0.242359493875794918E+01    0.306905663082330471E+00    0.936237731732162404E-01    0.240702928033800889E+00    0.364347982982760221E+00    0.299391395304097196E+01    0.406475206778951588E+02   -0.106650467634783634E+02
