    0.169265789985656756E+01    0.289675205945968628E+00    0.479706424820423126E+04    0.690162973480741056E-04    0.908854126930236816E+00    0.695318745283340134-309
    0.180348577499389640E+01    0.653940312564373016E+00    0.455613880205154419E+04    0.827211763929417532E-04    0.376212954521179199E+00    0.695318745283340134-309
    0.140500736236572266E+01    0.462566606700420380E+00    0.490961555492877960E+04    0.538780628186199566E-04    0.722623825073242188E+00    0.695318745283340134-309
    0.108791124820709229E+01    0.602712348103523254E+00    0.459706080508232117E+04   -0.714477947002803903E-03    0.690493404865264893E+00    0.695318745283340134-309
    0.885034036636352606E+00    0.264519944787025452E+00    0.433685625582933426E+04    0.464571421298072649E-03    0.415986537933349609E+00    0.695318745283340134-309
    0.190456743240356441E+01    0.468951933085918427E+00    0.491600972968339920E+04    0.219367976326443671E-03    0.149619579315185547E-02    0.695318745283340134-309
    0.134897058010101323E+01    0.715895585715770721E+00    0.419591047310829163E+04    0.177928816636623228E-03    0.190112769603729248E+00    0.695318745283340134-309
    0.118606986999511710E+01    0.455360114574432373E+00    0.498786796098947525E+04   -0.107020821238506115E-03    0.191157937049865723E+00    0.695318745283340134-309
    0.998684597015380926E+00    0.651123993098735809E+00    0.429879614603519440E+04   -0.323869287863479322E-03    0.814345479011535645E-01    0.695318745283340134-309
    0.883520412445068404E+00    0.535860382020473480E+00    0.431804842168092728E+04    0.840329991167036478E-03    0.836821913719177246E+00    0.695318745283340134-309
    0.127136955261230478E+01    0.762376487255096436E+00    0.486665436726808548E+04    0.165561440211000813E-03    0.921412289142608643E+00    0.695318745283340134-309
    0.116572005748748775E+01    0.900394603610038757E+00    0.468265230846405029E+04    0.286507631284241922E-03    0.133754730224609375E+00    0.695318745283340134-309
    0.986159467697143577E+00    0.765467032790184021E+00    0.483942569321393967E+04    0.280726471399538730E-03    0.628446936607360840E+00    0.695318745283340134-309
    0.918155241012573287E+00    0.831217713654041290E+00    0.455751832938194275E+04    0.198822017788705460E-04    0.978433966636657715E+00    0.695318745283340134-309
    0.968094038963317916E+00    0.941181063652038574E+00    0.473143088060617447E+04    0.730797408069343768E-03    0.177919447422027588E+00    0.695318745283340134-309
    0.157919380664825448E+01    0.987499348819255829E+00    0.438063150769472122E+04    0.111661823880216640E-03    0.235734701156616211E+00    0.695318745283340134-309
    0.963509964942932173E+00    0.196805194020271301E+00    0.425735518079996109E+04    0.564227507175917519E-03    0.410421252250671387E+00    0.695318745283340134-309
    0.132190501689910889E+01    0.273394271731376648E+00    0.404681421160697937E+04    0.842037820168828295E-04    0.229320347309112549E+00    0.695318745283340134-309
    0.102555840015411381E+01    0.455026432871818542E+00    0.481698780637979507E+04    0.184964501609911214E-03    0.743963718414306641E-01    0.695318745283340134-309
    0.851081418991088912E+00    0.143432028591632843E+00    0.464703647786378860E+04    0.460758199209313185E-03    0.254626035690307617E+00    0.695318745283340134-309
    0.183702290058135986E+01    0.166712298989295959E+00    0.438054685217142105E+04    0.146427899434820377E-03    0.953733563423156738E+00    0.695318745283340134-309
    0.163854708671569815E+01    0.496300324797630310E+00    0.462356305128335953E+04    0.333747487886128648E-03    0.354689478874206543E+00    0.695318745283340134-309
    0.115247344970703125E+01    0.357209816575050354E+00    0.483578163063526154E+04    0.245722394596818629E-03    0.385674655437469482E+00    0.695318745283340134-309
    0.185001451969146724E+01    0.252452328801155090E+00    0.442402282887697220E+04    0.235960295006523710E-04    0.776049435138702393E+00    0.695318745283340134-309
